WKT,name,description
"POLYGON ((106.8013349 -6.217502, 106.8011633 -6.217982, 106.801056 -6.2188246, 106.8012276 -6.2194539, 106.8017963 -6.2201791, 106.8024293 -6.2204351, 106.803073 -6.2203818, 106.8036846 -6.2200085, 106.8040708 -6.2192939, 106.8042103 -6.218142, 106.8038669 -6.2173314, 106.8031481 -6.2167981, 106.8026224 -6.2167874, 106.8018714 -6.2169474, 106.8013349 -6.217502))",Polygon 1,
"POINT (106.8029661 -6.218600599999999)",Gelora Bung Karno Main Stadium,
