WKT,name,description
"POINT (106.8261918 -6.309397799999999)",Kebun Binatang Ragunan,
"POLYGON ((106.8164132 -6.304903, 106.8168424 -6.3071637, 106.8159412 -6.3078035, 106.8155979 -6.3104055, 106.816542 -6.3104482, 106.817572 -6.3113866, 106.8176578 -6.3143298, 106.8161987 -6.3139459, 106.8161987 -6.3169744, 106.8247388 -6.3179981, 106.825683 -6.3118132, 106.8267129 -6.3117278, 106.8273137 -6.3086993, 106.8245672 -6.308614, 106.8245242 -6.3064386, 106.8206619 -6.3066518, 106.8207048 -6.3058414, 106.8164132 -6.304903))",Polygon 3,
