WKT,name,description
"POINT (106.8529248 -6.2373489)",Tebet Eco Park,
"POLYGON ((106.850815 -6.2328481, 106.8505145 -6.2341066, 106.8525745 -6.2357491, 106.8526389 -6.236325, 106.8516303 -6.2398019, 106.8527676 -6.2422549, 106.8540121 -6.2421909, 106.8530465 -6.2403992, 106.8531968 -6.2386927, 106.8537117 -6.236709, 106.8533684 -6.2346186, 106.8528534 -6.2347252, 106.8526174 -6.2332747, 106.8514372 -6.2335307, 106.8513729 -6.2329334, 106.850815 -6.2328481))",Polygon 3,
