WKT,nama,deskripsi
"POINT (106.7942405 -6.4024844)",Depok,
"POLYGON ((106.7761454 -6.3068616, 106.7786776 -6.325838, 106.7698713 -6.3572373, 106.7643436 -6.3559435, 106.7495375 -6.3411396, 106.7456535 -6.3702479, 106.745546 -6.3853661, 106.7406317 -6.4038959, 106.7350306 -6.4094608, 106.7318966 -6.4246847, 106.7347927 -6.4340025, 106.7310909 -6.4458257, 106.729449 -6.4583312, 106.7285057 -6.474281, 106.7371755 -6.4878426, 106.7542569 -6.4983344, 106.7586989 -6.4996779, 106.7576478 -6.5167125, 106.7665322 -6.5289506, 106.7780319 -6.5558967, 106.7929657 -6.5610132, 106.8173401 -6.5651066, 106.8247216 -6.5689436, 106.8430894 -6.5632302, 106.8502986 -6.5442994, 106.8572546 -6.5240864, 106.8721061 -6.4864772, 106.888671 -6.452957, 106.8940344 -6.4425086, 106.8993973 -6.4115906, 106.8925919 -6.3865733, 106.8734278 -6.3833916, 106.8464323 -6.376686, 106.8201683 -6.3708859, 106.8078943 -6.3664502, 106.7956205 -6.3661087, 106.7881535 -6.357834, 106.8005992 -6.3393229, 106.8054914 -6.3266124, 106.80901 -6.3152666, 106.794979 -6.3139668, 106.7857547 -6.3065244, 106.7761454 -6.3068616))",Poligon 4,
