WKT,nama,deskripsi
"POINT (106.8229198 -6.1944491)",Jakarta,
"POLYGON ((106.7262693 -6.0893174, 106.7118497 -6.0954623, 106.6854139 -6.0961451, 106.6888471 -6.1067278, 106.6984601 -6.1108243, 106.6891904 -6.1149207, 106.6864438 -6.1292581, 106.691937 -6.1374506, 106.6867871 -6.1463258, 106.6895337 -6.172609, 106.7166562 -6.1862621, 106.7166562 -6.1927473, 106.724896 -6.1920646, 106.7235227 -6.208789, 106.7163129 -6.2241477, 106.7403455 -6.2258542, 106.7492719 -6.2422362, 106.7448087 -6.2517922, 106.7516751 -6.2504271, 106.7520185 -6.2630543, 106.7599149 -6.2599829, 106.7509885 -6.2709036, 106.757855 -6.2784114, 106.7798276 -6.3179965, 106.7698713 -6.3572373, 106.7805143 -6.3159491, 106.80901 -6.3152666, 106.7928739 -6.3579197, 106.7956205 -6.3661087, 106.8114133 -6.3626967, 106.8203397 -6.35519, 106.8351026 -6.35519, 106.8412824 -6.3429062, 106.852612 -6.3357405, 106.852612 -6.3449536, 106.8608518 -6.3568961, 106.8728681 -6.3510955, 106.8718381 -6.3626967, 106.8831678 -6.3596258, 106.8756147 -6.3640615, 106.8862577 -6.3695208, 106.9003339 -6.369862, 106.9061704 -6.359967, 106.9154401 -6.3661087, 106.9219632 -6.3115129, 106.9219632 -6.3012756, 106.9102903 -6.2930856, 106.9085736 -6.2726099, 106.9037671 -6.2623718, 106.9099469 -6.2548637, 106.9157834 -6.2593003, 106.9205899 -6.2504271, 106.9260831 -6.2555463, 106.9442792 -6.2521335, 106.9446225 -6.236093, 106.9518323 -6.2183456, 106.9669385 -6.2077651, 106.9679685 -6.1954778, 106.972775 -6.1825076, 106.9696851 -6.0995589, 106.9672818 -6.0213774, 106.9655652 -5.9867213, 106.7252393 -5.9867213, 106.7262693 -6.0893174))",jakarta,
